Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Enigma Thief,Zendikar Rising Commander,4,Near Mint,English,,,,,,,,$0.00 
1,0,Enter the Unknown,Rivals of Ixalan,128,Near Mint,English,,,,,,,,$0.00 
2,0,Entourage of Trest,Commander Legends,224,Near Mint,English,,,,,,,,$0.00 
1,0,Eon Frolicker,Commander 2020,33,Near Mint,English,,,,,,,,$0.00 
1,0,Ephara's Warden,Theros,10,Near Mint,English,,,,,,,,$0.00 
1,0,Ephemerate,Modern Horizons,7,Near Mint,English,,,,,,,,$0.00 
1,0,Epicure of Blood,Core Set 2020,99,Near Mint,English,,,,,,,,$0.00 
1,0,Epitaph Golem,Core Set 2021,230,Near Mint,English,,,,,,,,$0.00 
1,0,Equestrian Skill,Shadows over Innistrad,204,Near Mint,English,,,,,,,,$0.00 
1,0,Eron the Relentless,Homelands,93,Near Mint,English,,,,,,,,$0.00 
1,0,Erratic Visionary,Jumpstart,150,Near Mint,English,,,,,,,,$0.00 
1,0,Escape to the Wilds,Throne of Eldraine,189,Near Mint,English,,,,,,,,$0.00 
1,0,Escape Velocity,Theros Beyond Death,132,Near Mint,English,,,,,,,,$0.00 
1,0,Esika's Chariot,Kaldheim,315,Near Mint,English,,,,,,,,$0.00 
1,0,"Esior, Wardwing Familiar",Commander Legends,67,Near Mint,English,,,,,,,,$0.00 
1,0,Esperzoa,Double Masters,49,Near Mint,English,,,,,,,,$0.00 
2,0,Essence Backlash,Return to Ravnica,160,Near Mint,English,,,,,,,,$0.00 
1,0,Essence Flux,Jumpstart,151,Near Mint,English,,,,,,,,$0.00 
1,0,Essence Scatter,Ikoria: Lair of Behemoths,49,Near Mint,English,,,,,,,,$0.00 
1,0,Essence Symbiote,Ikoria: Lair of Behemoths,149,Near Mint,English,,,,,,,,$0.00 
1,0,"Etali, Primal Storm",Commander 2020,151,Near Mint,English,,,,,,,,$0.00 
1,0,Eternal Dragon,Commander 2020,88,Near Mint,English,,,,,,,,$0.00 
1,0,Eternal of Harsh Truths,Hour of Devastation,34,Near Mint,English,,,,,,,,$0.00 
1,0,Eternal Witness,Commander Legends,425,Near Mint,English,,,,,,,,$0.00 
1,0,Ethereal Forager,Commander 2020,34,Near Mint,English,,,,,,,,$0.00 
1,0,Eutropia the Twice-Favored,Theros Beyond Death,216,Near Mint,English,,,,,,,,$0.00 
1,0,Ever After,Commander 2020,133,Near Mint,English,,,,,,,,$0.00 
1,0,Everflowing Chalice,Commander 2014,239,Near Mint,English,,,,,,,,$0.00 
1,0,Everflowing Chalice,Double Masters,254,Near Mint,English,foil,,,,,,,$0.00 
2,0,Everflowing Chalice,Double Masters,254,Near Mint,English,,,,,,,,$0.00 
1,0,Everquill Phoenix,Ikoria: Lair of Behemoths,114,Near Mint,English,,,,,,,,$0.00 
1,0,Evolution Charm,Commander 2020,171,Near Mint,English,,,,,,,,$0.00 
1,0,Evolution Charm,Time Spiral Remastered,202,Near Mint,English,,,,,,,,$0.00 
1,0,Evolution Sage,Zendikar Rising Commander,65,Near Mint,English,,,,,,,,$0.00 
1,0,Evolving Wilds,Zendikar Rising Commander,129,Near Mint,English,,,,,,,,$0.00 
1,0,Evolving Wilds,Core Set 2020,246,Near Mint,English,,,,,,,,$0.00 
5,0,Evolving Wilds,Ikoria: Lair of Behemoths,247,Near Mint,English,,,,,,,,$0.00 
2,0,Excavation Mole,Ikoria: Lair of Behemoths,150,Near Mint,English,,,,,,,,$0.00 
1,0,Exclusion Mage,Jumpstart,153,Near Mint,English,,,,,,,,$0.00 
2,0,Executioner's Swing,Gatecrash,161,Near Mint,English,,,,,,,,$0.00 
1,0,Exotic Orchard,Commander 2019,242,Near Mint,English,,,,,,,,$0.00 
5,0,Exotic Orchard,Commander 2020,273,Near Mint,English,,,,,,,,$0.00 
1,0,Expedite,Mystery Booster,918,Near Mint,English,,,,,,,,$0.00 
1,0,Expedite,Commander Legends,413,Near Mint,English,,,,,,,,$0.00 
2,0,Expedite,Oath of the Gatewatch,108,Near Mint,English,,,,,,,,$0.00 
1,0,Expedition Champion,Zendikar Rising,138,Near Mint,English,,,,,,,,$0.00 
2,0,Expedition Diviner,Zendikar Rising,57,Near Mint,English,,,,,,,,$0.00 
1,0,Expedition Diviner,Zendikar Rising,57,Near Mint,English,foil,,,,,,,$0.00 
1,0,Expedition Healer,Zendikar Rising,13,Near Mint,English,,,,,,,,$0.00 
1,0,Expedition Map,Double Masters,255,Near Mint,English,foil,,,,,,,$0.00 
2,0,Expedition Map,Double Masters,255,Near Mint,English,,,,,,,,$0.00 
1,0,Expedition Map,Zendikar,201,Near Mint,English,,,,,,,,$0.00 
1,0,Expedition Raptor,Oath of the Gatewatch,18,Near Mint,English,,,,,,,,$0.00 
1,0,Expedition Skulker,Zendikar Rising,101,Near Mint,English,,,,,,,,$0.00 
1,0,Explore,Jumpstart,393,Near Mint,English,,,,,,,,$0.00 
1,0,Explore,Commander Legends,426,Near Mint,English,,,,,,,,$0.00 
1,0,Explorer's Scope,Commander Legends,461,Near Mint,English,,,,,,,,$0.00 
1,0,Explorer's Scope,Zendikar,202,Near Mint,English,,,,,,,,$0.00 
2,0,Explosion of Riches,Commander Legends,176,Near Mint,English,,,,,,,,$0.00 
1,0,Explosive Impact,Return to Ravnica,94,Near Mint,English,,,,,,,,$0.00 
2,0,Expose to Daylight,Ravnica Allegiance,8,Near Mint,English,,,,,,,,$0.00 
2,0,Exquisite Huntmaster,Commander Legends,122,Near Mint,English,,,,,,,,$0.00 
1,0,Extinction Event,Ikoria: Lair of Behemoths,88,Near Mint,English,,,,,,,,$0.00 
1,0,Extract from Darkness,Zendikar Rising Commander,90,Near Mint,English,,,,,,,,$0.00 
1,0,Exuberant Wolfbear,Ikoria: Lair of Behemoths,151,Near Mint,English,,,,,,,,$0.00 
1,0,Eye Collector,Throne of Eldraine,86,Near Mint,English,,,,,,,,$0.00 
2,0,Eyeblight Assassin,Commander Legends,123,Near Mint,English,,,,,,,,$0.00 
2,0,Eyeblight Cullers,Commander Legends,124,Near Mint,English,,,,,,,,$0.00 
1,0,Eyeblight Cullers,Commander Legends,124,Near Mint,English,foil,,,,,,,$0.00 
1,0,Eyeblight Massacre,Commander Legends,125,Near Mint,English,,,,,,,,$0.00 
1,0,Eyekite,Modern Horizons,49,Near Mint,English,,,,,,,,$0.00 
1,0,Eyes in the Skies,Return to Ravnica,10,Near Mint,English,,,,,,,,$0.00 
1,0,Faceless Devourer,Time Spiral Remastered,115,Near Mint,English,,,,,,,,$0.00 
1,0,Faceless Haven,Kaldheim,255,Near Mint,English,,,,,,,,$0.00 
1,0,Fact or Fiction,Zendikar Rising Commander,25,Near Mint,English,,,,,,,,$0.00 
1,0,Fact or Fiction,Commander Legends,396,Near Mint,English,,,,,,,,$0.00 
3,0,Faerie Guidemother // Gift of the Fae,Throne of Eldraine,11,Near Mint,English,,,,,,,,$0.00 
1,0,Faerie Vandal,Zendikar Rising Commander,26,Near Mint,English,,,,,,,,$0.00 
2,0,Faerie Vandal,Throne of Eldraine,45,Near Mint,English,,,,,,,,$0.00 
1,0,Faith Unbroken,Commander Legends,373,Near Mint,English,,,,,,,,$0.00 
1,0,Faith's Fetters,Commander Legends,20,Near Mint,English,,,,,,,,$0.00 
4,0,Faithless Looting,Commander 2019,140,Near Mint,English,,,,,,,,$0.00 
1,0,Falconer Adept,Core Set 2021,18,Near Mint,English,,,,,,,,$0.00 
1,0,Falkenrath Aristocrat,Modern Masters 2017 Edition,163,Near Mint,English,,,,,,,,$0.00 
2,0,Fall from Favor,Commander Legends,68,Near Mint,English,,,,,,,,$0.00 
1,0,Fanatic of Mogis,Theros,121,Near Mint,English,,,,,,,,$0.00 
1,0,Far Wanderings,Zendikar Rising Commander,66,Near Mint,English,,,,,,,,$0.00 
2,0,Farfinder,Ikoria: Lair of Behemoths,2,Near Mint,English,,,,,,,,$0.00 
2,0,Farhaven Elf,Commander Legends,225,Near Mint,English,,,,,,,,$0.00 
1,0,Farsight Adept,Zendikar Rising,14,Near Mint,English,foil,,,,,,,$0.00 
1,0,Fatal Push,Double Masters,93,Near Mint,English,,,,,,,,$0.00 
1,0,Fatestitcher,Shards of Alara,43,Near Mint,English,,,,,,,,$0.00 
1,0,Fathom Fleet Swordjack,Commander Legends,177,Near Mint,English,,,,,,,,$0.00 
1,0,Fathom Mage,Commander Legends,445,Near Mint,English,,,,,,,,$0.00 
1,0,Favored of Iroas,Theros Beyond Death,15,Near Mint,English,,,,,,,,$0.00 
1,0,"Fblthp, the Lost",War of the Spark,50,Near Mint,English,,,,,,,,$0.00 
1,0,Fearless Halberdier,Guilds of Ravnica,100,Near Mint,English,,,,,,,,$0.00 
1,0,Fearless Liberator,Kaldheim,135,Near Mint,English,,,,,,,,$0.00 
1,0,Fearless Pup,Kaldheim,136,Near Mint,English,,,,,,,,$0.00 
1,0,Fearsome Temper,Born of the Gods,95,Near Mint,English,,,,,,,,$0.00 
1,0,Feast of Succession,Commander Legends,127,Near Mint,English,,,,,,,,$0.00 
2,0,Feat of Resistance,Core Set 2021,19,Near Mint,English,,,,,,,,$0.00 
1,0,Feed the Serpent,Kaldheim,95,Near Mint,English,,,,,,,,$0.00 
2,0,Feed the Swarm,Zendikar Rising,102,Near Mint,English,,,,,,,,$0.00 
1,0,Felidar Retreat,Zendikar Rising,16,Near Mint,English,,,,,,,,$0.00 
1,0,Fell the Pheasant,Throne of Eldraine,153,Near Mint,English,,,,,,,,$0.00 
1,0,Fen Hauler,Aether Revolt,58,Near Mint,English,,,,,,,,$0.00 
1,0,Fencing Ace,Commander Legends,21,Near Mint,English,,,,,,,,$0.00 
1,0,Ferocious Tigorilla,Ikoria: Lair of Behemoths,115,Near Mint,English,,,,,,,,$0.00 
1,0,Fertile Ground,Invasion,188,Near Mint,English,,,,,,,,$0.00 
1,0,Fertilid,Zendikar Rising Commander,67,Near Mint,English,,,,,,,,$0.00 
1,0,Fertilid,Commander Legends,226,Near Mint,English,,,,,,,,$0.00 
2,0,Fertilid,Ikoria: Lair of Behemoths,152,Near Mint,English,,,,,,,,$0.00 
1,0,Fervent Cathar,Avacyn Restored,135,Near Mint,English,,,,,,,,$0.00 
2,0,Festive Funeral,Throne of Eldraine,87,Near Mint,English,,,,,,,,$0.00 
1,0,Fetid Imp,Core Set 2021,98,Near Mint,English,,,,,,,,$0.00 
1,0,Field of Ruin,Theros Beyond Death,242,Near Mint,English,,,,,,,,$0.00 
2,0,Fierce Witchstalker,Throne of Eldraine,154,Near Mint,English,,,,,,,,$0.00 
3,0,Fiery Cannonade,Commander Legends,178,Near Mint,English,,,,,,,,$0.00 
1,0,Fiery Emancipation,Core Set 2021,143,Near Mint,English,foil,,,,,,,$0.00 
1,0,Filigree Familiar,Commander Legends,308,Near Mint,English,,,,,,,,$0.00 
1,0,Filigree Familiar,Kaladesh,212,Near Mint,English,,,,,,,,$0.00 
2,0,Fin-Clade Fugitives,Commander Legends,227,Near Mint,English,,,,,,,,$0.00 
1,0,Final Death,Theros Beyond Death,95,Near Mint,English,,,,,,,,$0.00 
1,0,Finale of Eternity,War of the Spark,91,Near Mint,English,,,,,,,,$0.00 
1,0,Finale of Promise,War of the Spark,127,Near Mint,English,,,,,,,,$0.00 
1,0,Find // Finality,Commander 2020,212,Near Mint,English,,,,,,,,$0.00 
2,0,Finishing Blow,Core Set 2021,99,Near Mint,English,,,,,,,,$0.00 
2,0,Fire Diamond,Commander Legends,309,Near Mint,English,,,,,,,,$0.00 
1,0,Fire Diamond,Commander Legends,309,Near Mint,English,foil,,,,,,,$0.00 
1,0,Fire Elemental,Magic 2013,130,Near Mint,English,,,,,,,,$0.00 
2,0,Fire Giant's Fury,Kaldheim,389,Near Mint,English,,,,,,,,$0.00 
2,0,Fire Prophecy,Ikoria: Lair of Behemoths,116,Near Mint,English,,,,,,,,$0.00 
1,0,Fire Shrine Keeper,Ixalan,144,Near Mint,English,,,,,,,,$0.00 
1,0,Fireball,Iconic Masters,128,Near Mint,English,,,,,,,,$0.00 
1,0,Firebrand Archer,Hour of Devastation,92,Near Mint,English,,,,,,,,$0.00 
1,0,Fireflux Squad,Commander 2020,51,Near Mint,English,,,,,,,,$0.00 
1,0,Firemind Vessel,War of the Spark,237,Near Mint,English,,,,,,,,$0.00 
1,0,Fireshrieker,Commander Legends,462,Near Mint,English,,,,,,,,$0.00 
1,0,"Firja, Judge of Valor",Kaldheim,209,Near Mint,English,,,,,,,,$0.00 
1,0,"Firja, Judge of Valor",Kaldheim,322,Near Mint,English,,,,,,,,$0.00 
2,0,Fissure Wizard,Zendikar Rising,140,Near Mint,English,,,,,,,,$0.00 
1,0,Fists of Flame,Commander Legends,414,Near Mint,English,,,,,,,,$0.00 
1,0,Flame Fusillade,Ravnica: City of Guilds,123,Near Mint,English,,,,,,,,$0.00 
1,0,Flamespeaker's Will,Journey into Nyx,95,Near Mint,English,,,,,,,,$0.00 
1,0,Flametongue Kavu,Archenemy: Nicol Bolas,48,Near Mint,English,,,,,,,,$0.00 
2,0,Flaxen Intruder // Welcome Home,Throne of Eldraine,155,Near Mint,English,,,,,,,,$0.00 
1,0,Flayer Husk,Double Masters,256,Near Mint,English,,,,,,,,$0.00 
1,0,Fleetfeather Sandals,Theros,216,Near Mint,English,,,,,,,,$0.00 
1,0,Fleeting Distraction,Mystery Booster,380,Near Mint,English,,,,,,,,$0.00 
3,0,Fleshbag Marauder,Commander Legends,128,Near Mint,English,,,,,,,,$0.00 
3,0,Flicker of Fate,Theros Beyond Death,16,Near Mint,English,,,,,,,,$0.00 
1,0,Flickerwisp,Commander Legends,374,Near Mint,English,,,,,,,,$0.00 
2,0,Fling,Throne of Eldraine,126,Near Mint,English,,,,,,,,$0.00 
2,0,Flood of Recollection,Commander Legends,61,Near Mint,English,,,,,,,,$0.00 
1,0,Flood of Tears,Core Set 2020,59,Near Mint,English,,,,,,,,$0.00 
1,0,Fluctuator,Commander 2020,241,Near Mint,English,,,,,,,,$0.00 
1,0,Flummoxed Cyclops,Theros Beyond Death,135,Near Mint,English,,,,,,,,$0.00 
1,0,Flycatcher Giraffid,Ikoria: Lair of Behemoths,153,Near Mint,English,,,,,,,,$0.00 
2,0,Forced Adaptation,Gatecrash,120,Near Mint,English,,,,,,,,$0.00 
1,0,Forced Landing,War of the Spark,161,Near Mint,English,,,,,,,,$0.00 
2,0,Forceful Denial,Commander Legends,69,Near Mint,English,,,,,,,,$0.00 
1,0,Foreboding Fruit,Throne of Eldraine,88,Near Mint,English,,,,,,,,$0.00 
1,0,Foreboding Ruins,Shadows over Innistrad,272,Near Mint,English,,,,,,,,$0.00 
1,0,Foresee,Time Spiral Remastered,69,Near Mint,English,,,,,,,,$0.00 
200,0,Forest,Core Set 2021,272,Near Mint,English,,,,,,,,$0.00 
1,0,Forever Young,Throne of Eldraine,89,Near Mint,English,,,,,,,,$0.00 
2,0,Forging the Tyrite Sword,Kaldheim,211,Near Mint,English,,,,,,,,$0.00 
1,0,Forgotten Cave,Commander 2020,274,Near Mint,English,,,,,,,,$0.00 
1,0,Forgotten Cave,Commander Legends,483,Near Mint,English,,,,,,,,$0.00 
2,0,Forgotten Sentinel,Core Set 2021,231,Near Mint,English,,,,,,,,$0.00 
1,0,Forsaken Sanctuary,Shadows over Innistrad,273,Near Mint,English,,,,,,,,$0.00 
1,0,Fortify,Double Masters,17,Near Mint,English,,,,,,,,$0.00 
1,0,Fortify,Double Masters,17,Near Mint,English,foil,,,,,,,$0.00 
1,0,Fortifying Provisions,Throne of Eldraine,13,Near Mint,English,,,,,,,,$0.00 
1,0,Fortune Thief,Time Spiral,156,Near Mint,English,,,,,,,,$0.00 
1,0,Foulmire Knight // Profane Insight,Throne of Eldraine,90,Near Mint,English,,,,,,,,$0.00 
2,0,Foundry Inspector,Commander Legends,310,Near Mint,English,,,,,,,,$0.00 
3,0,Foundry Street Denizen,Gatecrash,92,Near Mint,English,,,,,,,,$0.00 
1,0,Fourth Bridge Prowler,Aether Revolt,60,Near Mint,English,,,,,,,,$0.00 
1,0,Frantic Inventory,Core Set 2021,50,Near Mint,English,,,,,,,,$0.00 
1,0,Frantic Search,Commander 2020,111,Near Mint,English,,,,,,,,$0.00 
1,0,Freed from the Real,Masters 25,58,Near Mint,English,,,,,,,,$0.00 
1,0,Frenzied Goblin,Masters 25,131,Near Mint,English,,,,,,,,$0.00 
1,0,Frenzied Raptor,Ikoria: Lair of Behemoths,120,Near Mint,English,,,,,,,,$0.00 
2,0,Frilled Oculus,Gatecrash,35,Near Mint,English,,,,,,,,$0.00 
1,0,Frogify,Double Masters,52,Near Mint,English,,,,,,,,$0.00 
1,0,Frogify,Throne of Eldraine,47,Near Mint,English,,,,,,,,$0.00 
1,0,Frogtosser Banneret,Zendikar Rising Commander,43,Near Mint,English,,,,,,,,$0.00 
1,0,Frontier Bivouac,Commander 2020,275,Near Mint,English,,,,,,,,$0.00 
1,0,Frontier Warmonger,Commander 2020,52,Near Mint,English,,,,,,,,$0.00 
1,0,Frontline Devastator,Hour of Devastation,93,Near Mint,English,,,,,,,,$0.00 
1,0,Frontline Medic,Commander 2020,89,Near Mint,English,,,,,,,,$0.00 
1,0,Frontline Rebel,Aether Revolt,82,Near Mint,English,,,,,,,,$0.00 
3,0,Frost Augur,Kaldheim,56,Near Mint,English,,,,,,,,$0.00 
1,0,Frost Bite,Kaldheim,138,Near Mint,English,,,,,,,,$0.00 
1,0,Frost Breath,Core Set 2021,51,Near Mint,English,,,,,,,,$0.00 
1,0,Frost Lynx,Core Set 2020,62,Near Mint,English,,,,,,,,$0.00 
1,0,Frostburn Weird,Return to Ravnica,215,Near Mint,English,,,,,,,,$0.00 
2,0,Frostpeak Yeti,Kaldheim,57,Near Mint,English,,,,,,,,$0.00 
2,0,Frostpyre Arcanist,Kaldheim,58,Near Mint,English,,,,,,,,$0.00 
2,0,Frostveil Ambush,Ikoria: Lair of Behemoths,52,Near Mint,English,,,,,,,,$0.00 
1,0,Fruit of Tizerus,Theros Beyond Death,96,Near Mint,English,,,,,,,,$0.00 
1,0,Fully Grown,Ikoria: Lair of Behemoths,154,Near Mint,English,,,,,,,,$0.00 
1,0,Funeral Longboat,Kaldheim,238,Near Mint,English,,,,,,,,$0.00 
1,0,Funeral Longboat,Kaldheim,238,Near Mint,English,foil,,,,,,,$0.00 
1,0,Funeral Rites,Theros Beyond Death,97,Near Mint,English,,,,,,,,$0.00 
2,0,Fungal Rebirth,Core Set 2021,182,Near Mint,English,,,,,,,,$0.00 
1,0,Furious Resistance,Gatecrash,93,Near Mint,English,,,,,,,,$0.00 
2,0,Furious Rise,Core Set 2021,144,Near Mint,English,,,,,,,,$0.00 
1,0,Furnace Celebration,Commander Legends,181,Near Mint,English,,,,,,,,$0.00 
1,0,Furor of the Bitten,Core Set 2021,145,Near Mint,English,,,,,,,,$0.00 
3,0,Fyndhorn Elves,Commander Legends,228,Near Mint,English,,,,,,,,$0.00 
1,0,"Fynn, the Fangbearer",Kaldheim,170,Near Mint,English,,,,,,,,$0.00 
1,0,"Fynn, the Fangbearer",Kaldheim,316,Near Mint,English,,,,,,,,$0.00 
1,0,Gale Swooper,Core Set 2021,20,Near Mint,English,,,,,,,,$0.00 
2,0,Galestrike,Commander Legends,70,Near Mint,English,,,,,,,,$0.00 
1,0,Garenbrig Carver // Shield's Might,Throne of Eldraine,156,Near Mint,English,,,,,,,,$0.00 
1,0,Garenbrig Paladin,Throne of Eldraine,157,Near Mint,English,,,,,,,,$0.00 
1,0,"Garna, the Bloodflame",Ultimate Masters,200,Near Mint,English,,,,,,,,$0.00 
1,0,"Garna, the Bloodflame",Commander 2020,213,Near Mint,English,,,,,,,,$0.00 
1,0,Garrison Cat,Ikoria: Lair of Behemoths,14,Near Mint,English,,,,,,,,$0.00 
1,0,Garruk's Gorehorn,Core Set 2021,184,Near Mint,English,,,,,,,,$0.00 
1,0,Garruk's Gorehorn,Core Set 2021,306,Near Mint,English,,,,,,,,$0.00 
1,0,Garruk's Uprising,Core Set 2021,186,Near Mint,English,,,,,,,,$0.00 
1,0,"Garruk, Cursed Huntsman",Throne of Eldraine,191,Near Mint,English,,,,,,,,$0.00 
2,0,Gatecreeper Vine,Return to Ravnica,124,Near Mint,English,,,,,,,,$0.00 
3,0,Gates of Istfell,Kaldheim,256,Near Mint,English,,,,,,,,$0.00 
2,0,Gateway Plaza,War of the Spark,246,Near Mint,English,,,,,,,,$0.00 
1,0,Gateway Sneak,Ravnica Allegiance,40,Near Mint,English,,,,,,,,$0.00 
2,0,Gather the Townsfolk,Dark Ascension,8,Near Mint,English,,,,,,,,$0.00 
1,0,"Gavi, Nest Warden",Commander 2020,7,Near Mint,English,foil,,,,,,,$0.00 
1,0,Gavony Township,Commander 2020,276,Near Mint,English,,,,,,,,$0.00 
1,0,Gaze of Granite,Commander 2020,214,Near Mint,English,,,,,,,,$0.00 
1,0,Gemrazer,Ikoria: Lair of Behemoths,155,Near Mint,English,foil,,,,,,,$0.00 
2,0,General's Enforcer,Ikoria: Lair of Behemoths,188,Near Mint,English,,,,,,,,$0.00 
1,0,Generator Servant,Magic 2015 Core Set,143,Near Mint,English,,,,,,,,$0.00 
1,0,Generous Gift,Commander Legends,375,Near Mint,English,,,,,,,,$0.00 
1,0,Genesis Hydra,Commander 2020,172,Near Mint,English,,,,,,,,$0.00 
1,0,Genesis Ultimatum,Ikoria: Lair of Behemoths,189,Near Mint,English,,,,,,,,$0.00 
1,0,Geode Rager,Zendikar Rising Commander,6,Near Mint,English,,,,,,,,$0.00 
3,0,Ghastly Demise,Commander Legends,129,Near Mint,English,,,,,,,,$0.00 
1,0,Ghastly Gloomhunter,Zendikar Rising,103,Near Mint,English,,,,,,,,$0.00 
1,0,"Ghen, Arcanum Weaver",Commander Legends,275,Near Mint,English,,,,,,,,$0.00 
1,0,Ghirapur Guide,Jumpstart,400,Near Mint,English,,,,,,,,$0.00 
1,0,Ghirapur Orrery,Kaladesh,216,Near Mint,English,,,,,,,,$0.00 
1,0,Ghired's Belligerence,Commander 2019,25,Near Mint,English,,,,,,,,$0.00 
1,0,Ghostly Flicker,Avacyn Restored,57,Near Mint,English,,,,,,,,$0.00 
1,0,Ghostly Pilferer,Core Set 2021,52,Near Mint,English,,,,,,,,$0.00 
1,0,Ghoultree,Dark Ascension,115,Near Mint,English,foil,,,,,,,$0.00 
1,0,Giant Dustwasp,Time Spiral Remastered,206,Near Mint,English,,,,,,,,$0.00 
1,0,Giant Growth,Return to Ravnica,125,Near Mint,English,,,,,,,,$0.00 
1,0,Giant Growth,War of the Spark,162,Near Mint,English,,,,,,,,$0.00 
1,0,Giant Opportunity,Throne of Eldraine,159,Near Mint,English,,,,,,,,$0.00 
1,0,Giant Ox,Kaldheim,11,Near Mint,English,,,,,,,,$0.00 
1,0,Giant Ox,Kaldheim,11,Near Mint,English,foil,,,,,,,$0.00 
2,0,Giant's Amulet,Kaldheim,59,Near Mint,English,,,,,,,,$0.00 
2,0,Giant's Grasp,Kaldheim,384,Near Mint,English,,,,,,,,$0.00 
1,0,Gibbering Fiend,Shadows over Innistrad,161,Near Mint,English,,,,,,,,$0.00 
1,0,Gift of Paradise,Commander Legends,229,Near Mint,English,foil,,,,,,,$0.00 
1,0,Gift of Paradise,Amonkhet,167,Near Mint,English,foil,,,,,,,$0.00 
2,0,Gift of Paradise,Core Set 2020,173,Near Mint,English,,,,,,,,$0.00 
1,0,Gift of Strength,Hour of Devastation,117,Near Mint,English,,,,,,,,$0.00 
1,0,Gift of Strength,Theros Beyond Death,171,Near Mint,English,,,,,,,,$0.00 
2,0,"Gilanra, Caller of Wirewood",Commander Legends,230,Near Mint,English,,,,,,,,$0.00 
1,0,Gilded Assault Cart,Kaldheim,390,Near Mint,English,,,,,,,,$0.00 
1,0,Gilded Sentinel,Ixalan,239,Near Mint,English,,,,,,,,$0.00 
1,0,Gilt-Leaf Winnower,Commander Legends,130,Near Mint,English,,,,,,,,$0.00 
3,0,Gingerbrute,Throne of Eldraine,219,Near Mint,English,,,,,,,,$0.00 
1,0,Glacial Chasm,Ice Age,331,Near Mint,English,,,,,,,,$0.00 
2,0,Glacial Floodplain,Kaldheim,257,Near Mint,English,,,,,,,,$0.00 
1,0,Glacial Floodplain,Kaldheim,257,Near Mint,English,foil,,,,,,,$0.00 
1,0,Glacial Grasp,Zendikar Rising,59,Near Mint,English,,,,,,,,$0.00 
1,0,"Glacian, Powerstone Engineer",Commander Legends,72,Near Mint,English,,,,,,,,$0.00 
1,0,Glademuse,Commander 2020,60,Near Mint,English,,,,,,,,$0.00 
1,0,Glaive of the Guildpact,Guilds of Ravnica,236,Near Mint,English,,,,,,,,$0.00 
2,0,Glimpse of Freedom,Theros Beyond Death,50,Near Mint,English,,,,,,,,$0.00 
2,0,Glimpse the Cosmos,Kaldheim,60,Near Mint,English,,,,,,,,$0.00 
1,0,Glint-Sleeve Artisan,Double Masters,18,Near Mint,English,,,,,,,,$0.00 
1,0,Glint-Sleeve Artisan,Double Masters,18,Near Mint,English,foil,,,,,,,$0.00 
2,0,Glittering Frost,Kaldheim,171,Near Mint,English,,,,,,,,$0.00 
1,0,Gloom Pangolin,Ikoria: Lair of Behemoths,89,Near Mint,English,foil,,,,,,,$0.00 
2,0,Gloom Sower,Core Set 2021,100,Near Mint,English,,,,,,,,$0.00 
1,0,Glorious End,Amonkhet,133,Near Mint,English,,,,,,,,$0.00 
1,0,Glory Bearers,Theros Beyond Death,17,Near Mint,English,,,,,,,,$0.00 
1,0,Glory-Bound Initiate,Amonkhet,16,Near Mint,English,,,,,,,,$0.00 
1,0,Glowspore Shaman,Guilds of Ravnica,173,Near Mint,English,,,,,,,,$0.00 
1,0,Glowstone Recluse,Ikoria: Lair of Behemoths,156,Near Mint,English,,,,,,,,$0.00 
1,0,Gnarled Sage,Core Set 2021,187,Near Mint,English,,,,,,,,$0.00 
2,0,Gnarlid Colony,Zendikar Rising,185,Near Mint,English,,,,,,,,$0.00 
1,0,"Gnostro, Voice of the Crags",Commander Legends,276,Near Mint,English,,,,,,,,$0.00 
1,0,Gnottvold Recluse,Kaldheim,172,Near Mint,English,foil,,,,,,,$0.00 
2,0,Go for Blood,Ikoria: Lair of Behemoths,122,Near Mint,English,,,,,,,,$0.00 
1,0,Goatnap,Modern Horizons,126,Near Mint,English,,,,,,,,$0.00 
1,0,Goblin Arsonist,Magic 2013,134,Near Mint,English,,,,,,,,$0.00 
2,0,Goblin Arsonist,Core Set 2021,147,Near Mint,English,,,,,,,,$0.00 
1,0,Goblin Assault,Modern Masters 2017 Edition,95,Near Mint,English,,,,,,,,$0.00 
1,0,Goblin Balloon Brigade,Mystery Booster,951,Near Mint,English,,,,,,,,$0.00 
1,0,Goblin Battle Jester,Magic 2013,135,Near Mint,English,,,,,,,,$0.00 
1,0,Goblin Bird-Grabber,Core Set 2020,142,Near Mint,English,,,,,,,,$0.00 
2,0,Goblin Bombardment,Tempest,179,Near Mint,English,,,,,,,,$0.00 
4,0,Goblin Chirurgeon,Fallen Empires,110,Good (Lightly Played),English,,,,,,,,$0.00 
3,0,Goblin Chirurgeon,Fallen Empires,111,Good (Lightly Played),English,,,,,,,,$0.00 
1,0,Goblin Commando,Jumpstart,325,Near Mint,English,,,,,,,,$0.00 
2,0,Goblin Cratermaker,Guilds of Ravnica,103,Near Mint,English,,,,,,,,$0.00 
1,0,Goblin Dark-Dwellers,Commander 2020,153,Near Mint,English,,,,,,,,$0.00 
2,0,Goblin Electromancer,Return to Ravnica,163,Near Mint,English,,,,,,,,$0.00 
1,0,Goblin Fireslinger,Magic 2012,139,Near Mint,English,,,,,,,,$0.00 
